feature,rows,missing_fraction,unique_count_sample,unique_fraction_sample,zero_fraction_finite,mean,std
feature_50,300000,0.07041333333333333,278288,0.9978915360231788,0.0,-0.18219274282455444,1.0099552869796753
feature_39,300000,0.07041333333333333,278308,0.9979632524849754,0.0,0.0364655926823616,0.8148477077484131
feature_53,300000,0.07041333333333333,278328,0.998034968946772,0.0,0.16454975306987762,1.0321017503738403
feature_42,300000,0.07041333333333333,278339,0.9980744130007602,0.0,-0.11662693321704865,0.8271970152854919
feature_15,300000,0.024836666666666618,289492,0.98955046846853,0.0,-0.6060322523117065,0.4926976263523102
feature_52,300000,0.01863999999999999,293717,0.9976529170402978,0.0,-0.25663620233535767,0.9425410628318787
feature_55,300000,0.01863999999999999,293764,0.9978125594413195,0.0,0.22004202008247375,0.9385021328926086
feature_44,300000,0.01863999999999999,293809,0.9979654085486808,0.0,-0.15114764869213104,0.6871641874313354
feature_41,300000,0.01863999999999999,293837,0.9980605146599277,0.0,0.06599979102611542,0.6741039156913757
feature_08,300000,0.016140000000000043,294640,0.9982450077585564,0.0,0.22546687722206116,0.9257723093032837
feature_73,300000,0.009990000000000054,296210,0.9973299932997309,0.0,0.035532962530851364,0.9743655323982239
feature_74,300000,0.009990000000000054,296263,0.9975084426756632,0.0,0.015418224036693573,0.9597309827804565
feature_32,300000,0.00986666666666669,296129,0.9969330729868031,0.0,0.8738518953323364,1.3818050622940063
feature_33,300000,0.00986666666666669,296482,0.9981214651225424,0.0,-0.04976983740925789,0.993435800075531
feature_58,300000,0.00986666666666669,296590,0.9984850525181793,0.0,-0.04163262993097305,0.887495219707489
feature_17,300000,0.004166666666666652,295617,0.9895129707112971,0.0,-0.5886387825012207,0.4890727400779724
feature_75,300000,0.001966666666666672,298240,0.9960923148859423,0.0,0.05113871768116951,0.9815695881843567
feature_76,300000,0.001966666666666672,298438,0.996753615443706,0.0,0.03328991308808327,0.9697604775428772
feature_21,300000,0.0015500000000000513,13090,0.043701069991820655,0.0,0.1013924703001976,0.36916986107826233
feature_31,300000,0.0015500000000000513,13092,0.04370774700786219,0.0,0.10083987563848495,0.36908578872680664
feature_26,300000,0.0015500000000000513,13093,0.04371108551588295,0.0,-0.09343426674604416,1.0526447296142578
feature_27,300000,0.0015500000000000513,13093,0.04371108551588295,0.0,-0.5249789953231812,1.0589264631271362
feature_77,300000,0.0003733333333333366,299032,0.9971456010243824,0.0,0.04750281199812889,0.9626610279083252
feature_78,300000,0.0003733333333333366,299086,0.9973256682494798,0.0,0.028536874800920486,0.9424100518226624
feature_46,300000,0.000053333333333349664,299319,0.9977832151048056,0.0,-0.10184895992279053,0.9329444766044617
feature_45,300000,0.000053333333333349664,299326,0.9978065496826497,0.0,0.0146415950730443,0.8778592348098755
feature_66,300000,0.000053333333333349664,299344,0.9978665528828204,0.0,-0.13727934658527374,1.0687936544418335
feature_65,300000,0.000053333333333349664,299379,0.9979832257720411,0.0,-0.08828505128622055,1.0442867279052734
feature_10,300000,0.0,9,0.00003,0.0,4.90187,3.175070682116121
feature_09,300000,0.0,22,0.00007333333333333333,0.0,32.71178,23.497595392541765
feature_11,300000,0.0,29,0.00009666666666666667,0.0,159.4819,158.4668057324835
feature_61,300000,0.0,409,0.0013633333333333334,0.0,-0.0033604849595576525,1.1498711109161377
feature_30,300000,0.0,13108,0.043693333333333334,0.0,-0.6353263258934021,0.4596504867076874
feature_29,300000,0.0,13111,0.04370333333333333,0.0,-0.4587151110172272,0.5852625966072083
feature_24,300000,0.0,13113,0.04371,0.0,1.6172964572906494,1.4873206615447998
feature_28,300000,0.0,13114,0.04371333333333333,0.0,-0.4809420704841614,1.033370018005371
feature_20,300000,0.0,13115,0.04371666666666667,0.0,-0.522936224937439,0.7413491606712341
feature_23,300000,0.0,13115,0.04371666666666667,0.0,0.013212639838457108,0.8842103481292725
feature_22,300000,0.0,13115,0.04371666666666667,0.0,0.010348938405513763,0.9351673126220703
feature_25,300000,0.0,13116,0.04372,0.0,0.30394646525382996,1.0626028776168823
feature_62,300000,0.0,296379,0.98793,0.0,-0.3544047474861145,0.9028797149658203
feature_64,300000,0.0,296392,0.9879733333333334,0.0,-0.3373500406742096,0.3270506262779236
feature_63,300000,0.0,296601,0.98867,0.0,-0.29282793402671814,0.1510806828737259
feature_16,300000,0.0,296902,0.9896733333333333,0.0,-0.5003300905227661,0.4650270342826843
feature_68,300000,0.0,298470,0.9949,0.0,-0.04190810024738312,0.6890016198158264
feature_71,300000,0.0,298558,0.9951933333333334,0.0,-0.03765837103128433,0.6604862213134766
feature_13,300000,0.0,298710,0.9957,0.0,-0.047739773988723755,0.7108615636825562
feature_69,300000,0.0,298801,0.9960033333333334,0.0,-0.0711924210190773,0.7431004047393799
feature_14,300000,0.0,298859,0.9961966666666666,0.0,-0.07351534813642502,0.7634013295173645
feature_72,300000,0.0,298976,0.9965866666666666,0.0,-0.06664365530014038,0.74567711353302
feature_02,300000,0.0,299027,0.9967566666666666,0.0,1.2310324907302856,1.368166208267212
feature_03,300000,0.0,299032,0.9967733333333333,0.0,1.23148512840271,1.3690072298049927
feature_34,300000,0.0,299048,0.9968266666666666,0.0,0.9364848136901855,1.4365246295928955
feature_12,300000,0.0,299065,0.9968833333333333,0.0,-0.06900108605623245,0.7553593516349792
feature_00,300000,0.0,299070,0.9969,0.0,1.2371127605438232,1.378575086593628
feature_67,300000,0.0,299075,0.9969166666666667,0.0,-0.07366380095481873,0.7469817996025085
feature_35,300000,0.0,299077,0.9969233333333334,0.0,0.9323756098747253,1.430236577987671
feature_70,300000,0.0,299135,0.9971166666666667,0.0,-0.060085952281951904,0.7479234933853149
feature_51,300000,0.0,299208,0.99736,0.0,-0.24607254564762115,0.7135571241378784
feature_54,300000,0.0,299316,0.99772,0.0,0.13233257830142975,0.692380964756012
feature_57,300000,0.0,299352,0.99784,0.0,0.0397876612842083,1.0354971885681152
feature_43,300000,0.0,299354,0.9978466666666667,0.0,-0.110099658370018,0.5865553617477417
feature_01,300000,0.0,299361,0.99787,0.0,0.05725809931755066,1.218848466873169
feature_04,300000,0.0,299368,0.9978933333333333,0.0,0.011020160280168056,1.132128119468689
feature_36,300000,0.0,299374,0.9979133333333333,0.0,0.004244848620146513,0.8955753445625305
feature_40,300000,0.0,299383,0.9979433333333333,0.0,0.02999802492558956,0.5821447372436523
feature_19,300000,0.0,299396,0.9979866666666667,0.0,-0.11763206869363785,1.0627952814102173
feature_56,300000,0.0,299405,0.9980166666666667,0.0,-0.10300420969724655,0.9579374194145203
feature_18,300000,0.0,299408,0.9980266666666666,0.0,-0.018836472183465958,1.0133020877838135
feature_38,300000,0.0,299452,0.9981733333333334,0.0,0.13430844247341156,0.8189874887466431
