feature,rows,missing_fraction,unique_count_sample,unique_fraction_sample,zero_fraction_finite,mean,std
feature_27,50000,0.82124,1155,0.12922353994182142,0.0,-0.4402865171432495,1.1338231563568115
feature_26,50000,0.82124,1155,0.12922353994182142,0.0,0.14735832810401917,1.0087110996246338
feature_21,50000,0.82124,1155,0.12922353994182142,0.0,-0.1275292932987213,0.24293507635593414
feature_31,50000,0.82124,1155,0.12922353994182142,0.0,-0.12806205451488495,0.24776612222194672
feature_00,50000,0.31821999999999995,34074,0.9995599753586201,0.0,0.4971679747104645,1.0303151607513428
feature_02,50000,0.31821999999999995,34076,0.999618645310804,0.0,0.4997508227825165,1.0281338691711426
feature_04,50000,0.31821999999999995,34080,0.999735985215172,0.0,-0.009272092953324318,0.9676464200019836
feature_03,50000,0.31821999999999995,34081,0.9997653201912641,0.0,0.49669334292411804,1.0294947624206543
feature_01,50000,0.31821999999999995,34083,0.999823990143448,0.0,0.004650321789085865,0.9659298658370972
feature_42,50000,0.15503999999999996,42236,0.9997159628858171,0.0,0.120841845870018,1.1888160705566406
feature_39,50000,0.15503999999999996,42236,0.9997159628858171,0.0,-0.09581239521503448,1.1938371658325195
feature_53,50000,0.15068000000000004,42452,0.99967032449489,0.0,-0.06751114130020142,1.0319820642471313
feature_50,50000,0.15068000000000004,42456,0.99976451749635,0.0,0.050770774483680725,1.0342432260513306
feature_41,50000,0.03749999999999998,48100,0.9994805194805195,0.0,-0.09449673444032669,1.2333639860153198
feature_44,50000,0.03749999999999998,48103,0.9995428571428572,0.0,0.11593950539827347,1.225853443145752
feature_55,50000,0.03283999999999998,48338,0.9995864179660036,0.0,-0.055466342717409134,1.072242021560669
feature_52,50000,0.03283999999999998,48341,0.999648455271103,0.0,0.07390991598367691,1.0498828887939453
feature_66,50000,0.03268000000000004,48347,0.9996071620559898,0.0,0.09324102103710175,1.0468215942382812
feature_45,50000,0.03268000000000004,48348,0.9996278377372534,0.0,-0.09698431193828583,1.1170262098312378
feature_65,50000,0.03268000000000004,48352,0.9997105404623082,0.0,0.10840943455696106,1.0059609413146973
feature_46,50000,0.03268000000000004,48355,0.9997725675060993,0.0,0.11732431501150131,1.1111927032470703
