feature,rows,missing_fraction,unique_count_sample,unique_fraction_sample,zero_fraction_finite,mean,std
feature_31,235637,0.1829169442829437,29278,0.15206585815566,0.0,0.044460270553827286,0.3728332817554474
feature_27,235637,0.1829169442829437,29279,0.15207105201651647,0.0,-0.286976158618927,1.0308314561843872
feature_21,235637,0.1829169442829437,29282,0.1520866335990859,0.0,0.045638617128133774,0.3742425739765167
feature_26,235637,0.1829169442829437,29283,0.15209182745994235,0.0,-0.10825736820697784,1.0312954187393188
feature_42,235637,0.09115716122680229,213826,0.9984544049459042,0.0,-0.05839303508400917,0.9342666268348694
feature_39,235637,0.09115716122680229,213826,0.9984544049459042,0.0,0.023276859894394875,0.9290289878845215
feature_50,235637,0.09021079032579771,214029,0.9983627204030227,0.0,-0.07628681510686874,1.0249550342559814
feature_53,235637,0.09021079032579771,214069,0.9985493049724787,0.0,0.07618288695812225,1.0364757776260376
feature_01,235637,0.06752335159588685,219377,0.9984116581560671,0.0,0.008798276074230671,1.0849300622940063
feature_04,235637,0.06752335159588685,219383,0.9984389648926391,0.0,-0.0014244691701605916,1.0376180410385132
feature_02,235637,0.06752335159588685,219384,0.998443516015401,0.0,0.572664737701416,1.3229460716247559
feature_03,235637,0.06752335159588685,219389,0.998466271629211,0.0,0.5723748803138733,1.3229726552963257
feature_00,235637,0.06752335159588685,219389,0.998466271629211,0.0,0.5740230679512024,1.3279563188552856
feature_15,235637,0.025675084982409335,228717,0.9962105868363627,0.0,-0.22556927800178528,0.949725329875946
feature_41,235637,0.02306513832717272,229849,0.9984665641480092,0.0,0.0354999303817749,0.8807692527770996
feature_44,235637,0.02306513832717272,229857,0.9985013162353064,0.0,-0.07467059791088104,0.8868304491043091
feature_52,235637,0.022059354006374265,230034,0.9982424849960293,0.0,-0.09397101402282715,1.0046058893203735
feature_55,235637,0.022059354006374265,230070,0.9983987085519378,0.0,0.08078164607286453,1.0040069818496704
feature_73,235637,0.010248814914465942,232439,0.9966426837948392,0.0,-0.02345050498843193,0.9184472560882568
